timeGE,Longitude,Latitude,AltMSL
2022-07-17T18:52:18.367,-115.071386460272,36.6898144305007,12885.4868381004
2022-07-17T18:52:19.438,-115.071640869108,36.688909881242,12886.5347967689
2022-07-17T18:52:19.797,-115.071726025459,36.6886063644167,12886.8700454797
2022-07-17T18:52:20.422,-115.071874135434,36.6880774985505,12887.4536957423
2022-07-17T18:52:21.195,-115.072057032105,36.687422779516,12888.1317786604
2022-07-17T18:52:22.352,-115.072329213622,36.6864418118164,12889.056143234
2022-07-17T18:52:23.289,-115.072548124095,36.6856469010416,12889.7342471884
2022-07-17T18:52:23.797,-115.072666726403,36.6852159223167,12890.0733617804
2022-07-17T18:52:24.203,-115.072761703334,36.68487148481,12890.3199872133
2022-07-17T18:52:24.594,-115.072853395514,36.6845397840391,12890.5575008691
2022-07-17T18:52:25.289,-115.073017008178,36.6839501851824,12890.9283298935
2022-07-17T18:52:25.594,-115.073089071072,36.6836914500204,12891.0667078083
2022-07-17T18:52:26.352,-115.073268848923,36.6830485572381,12891.4106109541
2022-07-17T18:52:27.000,-115.073423261809,36.6824991948447,12891.656828183
2022-07-17T18:52:27.305,-115.073496159415,36.6822406912003,12891.7512429979
2022-07-17T18:52:28.289,-115.073732186543,36.681406996222,12892.0558468598
2022-07-17T18:52:28.797,-115.073854575828,36.6809769320466,12892.1815320361
2022-07-17T18:52:29.328,-115.073982807461,36.6805277501435,12892.2981929822
2022-07-17T18:52:30.414,-115.074245580758,36.6796099638201,12892.4819488222
2022-07-17T18:52:31.336,-115.074468816988,36.6788312374857,12892.5644311204
2022-07-17T18:52:31.594,-115.074531317305,36.6786133518294,12892.5590196441
2022-07-17T18:52:32.398,-115.074726066287,36.6779342799316,12892.5421559738
2022-07-17T18:52:33.398,-115.074967869511,36.6770893415318,12892.4030924596
2022-07-17T18:52:34.539,-115.075242674642,36.6761245090225,12892.1732227256
2022-07-17T18:52:35.508,-115.075475342225,36.6753040792389,12892.0033389583
2022-07-17T18:52:36.523,-115.075719014334,36.6744440776817,12891.9043410644
2022-07-17T18:52:37.594,-115.075976637854,36.6735371062174,12891.8766440301
2022-07-17T18:52:38.195,-115.076121222707,36.6730284254627,12891.8761186179
2022-07-17T18:52:38.672,-115.076235846539,36.6726246364408,12891.8762333652
2022-07-17T18:52:39.758,-115.076496535853,36.6717044198729,12891.8764946636
2022-07-17T18:52:40.594,-115.076697074475,36.6709951762919,12891.8766958264
2022-07-17T18:52:41.594,-115.076936046258,36.6701446054523,12891.8769364179
2022-07-17T18:52:42.398,-115.077129222453,36.6694605519674,12891.8771298175
2022-07-17T18:52:42.672,-115.077195140285,36.66922730104,12891.8771957293
2022-07-17T18:52:43.398,-115.077369979309,36.6686090141076,12891.8773703714
2022-07-17T18:52:43.656,-115.077432160543,36.6683892375163,12891.877432469
2022-07-17T18:52:44.570,-115.07765254563,36.6676106114316,12891.8776524581
2022-07-17T18:52:45.438,-115.07786182155,36.6668712123544,12891.8778615371
2022-07-17T18:52:46.398,-115.078093396309,36.6660536466455,12891.8780928621
2022-07-17T18:52:47.438,-115.078344747363,36.6651685623479,12891.8783433789
2022-07-17T18:52:47.797,-115.078431508193,36.6648632667471,12891.878429794
2022-07-17T18:52:48.398,-115.078576629368,36.6643522035798,12891.878574461
2022-07-17T18:52:49.531,-115.078849880032,36.663388445074,12891.8788469122
2022-07-17T18:52:49.797,-115.078913993344,36.6631621821203,12891.8789108137
2022-07-17T18:52:50.469,-115.079075875311,36.6625907412649,12891.8790722492
2022-07-17T18:52:50.797,-115.079154818076,36.662311964786,12891.8791510023
2022-07-17T18:52:51.195,-115.079250520179,36.6619738592986,12891.8792465623
2022-07-17T18:52:51.461,-115.07931441453,36.6617479938001,12891.8793104019
2022-07-17T18:52:52.195,-115.079490373294,36.6611249958587,12891.8794865607
2022-07-17T18:52:52.469,-115.07955590614,36.6608923784648,12891.8795522814
2022-07-17T18:52:53.398,-115.079777560344,36.6601021441094,12891.8797751081
2022-07-17T18:52:54.398,-115.080016073707,36.6592483055527,12891.8800148251
2022-07-17T18:52:55.523,-115.080284835762,36.6582861953495,12891.8802843779
2022-07-17T18:52:55.797,-115.080350328195,36.6580517422266,12891.8803500119
2022-07-17T18:52:56.195,-115.080445443308,36.6577111223115,12891.8804453489
2022-07-17T18:52:56.625,-115.080548158155,36.6573430338933,12891.8805483363
2022-07-17T18:52:57.195,-115.080684249839,36.6568549846044,12891.8806848545
2022-07-17T18:52:57.648,-115.080792375484,36.6564670767277,12891.8807933275
2022-07-17T18:52:58.594,-115.081018191699,36.6556569734635,12891.8810198515
2022-07-17T18:52:59.398,-115.08121021747,36.6549683659635,12891.8812123031
2022-07-17T18:53:00.594,-115.081495919939,36.6539443213902,12891.8814984743
