Time,Longitude,Latitude,ortho_mavg
2022-07-17T18:50:15.484,-115.551174,36.047838,8899.8
2022-07-17T18:50:16.609,-115.551388,36.047173,8834.8
2022-07-17T18:50:17.547,-115.551624,36.046507,8774.8
2022-07-17T18:50:18.656,-115.55186,36.045821,8729.8
2022-07-17T18:50:19.766,-115.552032,36.04522,8719.8
2022-07-17T18:50:20.813,-115.552161,36.044748,8704.8
2022-07-17T18:50:21.820,-115.552268,36.044426,8759.8
2022-07-17T18:50:22.750,-115.552268,36.044276,8849.8
2022-07-17T18:50:23.797,-115.552268,36.044233,8959.8
2022-07-17T18:50:24.703,-115.552247,36.044211,9094.8
2022-07-17T18:50:25.680,-115.552204,36.044211,9274.8
2022-07-17T18:50:27.547,-115.552161,36.044233,9424.8
2022-07-17T18:50:28.539,-115.552096,36.044276,9529.8
2022-07-17T18:50:29.500,-115.552032,36.044319,9634.8
2022-07-17T18:50:30.563,-115.551989,36.044319,9689.8
2022-07-17T18:50:31.477,-115.551903,36.044405,9714.8
2022-07-17T18:50:32.477,-115.55186,36.044405,9704.8
2022-07-17T18:50:33.523,-115.551732,36.044405,9694.8
2022-07-17T18:50:35.953,-115.551689,36.044598,9659.8
2022-07-17T18:50:36.922,-115.551517,36.044683,9599.8
2022-07-17T18:50:37.836,-115.551174,36.044683,9439.8
2022-07-17T18:50:38.836,-115.55053,36.044576,9289.8
2022-07-17T18:50:39.727,-115.549757,36.044469,9074.8
2022-07-17T18:50:40.227,-115.54935,36.044383,8844.8
2022-07-17T18:50:41.281,-115.548427,36.044126,8649.8
2022-07-17T18:50:42.250,-115.547504,36.04389,8544.8
2022-07-17T18:50:43.273,-115.546582,36.043718,8424.8
2022-07-17T18:50:44.320,-115.545681,36.043439,8419.8
2022-07-17T18:50:45.578,-115.544736,36.043203,8444.8
2022-07-17T18:50:46.695,-115.5439,36.042988,8479.8
2022-07-17T18:50:47.648,-115.543149,36.042795,8524.8
2022-07-17T18:50:48.828,-115.542333,36.042602,8604.8
2022-07-17T18:50:49.789,-115.541689,36.042473,8679.8
2022-07-17T18:50:50.891,-115.540981,36.042387,8739.8
2022-07-17T18:50:51.953,-115.54023,36.042323,8814.8
2022-07-17T18:50:53.664,-115.539093,36.042387,8894.8
2022-07-17T18:50:54.703,-115.538471,36.042516,8979.8
2022-07-17T18:50:55.719,-115.537827,36.042752,9049.8
2022-07-17T18:50:56.820,-115.537248,36.043074,9104.8
2022-07-17T18:50:57.703,-115.536861,36.043353,9154.8
2022-07-17T18:50:58.695,-115.536454,36.043761,9209.8
2022-07-17T18:50:59.594,-115.536196,36.04419,9239.8
2022-07-17T18:51:00.453,-115.536003,36.044641,9259.8
2022-07-17T18:51:01.391,-115.535917,36.04507,9289.8
2022-07-17T18:51:02.492,-115.535896,36.045692,9289.8
2022-07-17T18:51:03.484,-115.536003,36.046228,9279.8
2022-07-17T18:51:04.539,-115.536196,36.046851,9259.8
2022-07-17T18:51:05.523,-115.536454,36.047387,9244.8
2022-07-17T18:51:06.461,-115.536754,36.047881,9204.8
2022-07-17T18:51:07.430,-115.537097,36.048439,9179.8
2022-07-17T18:51:08.414,-115.537419,36.049039,9129.8
2022-07-17T18:51:23.453,-115.539372,36.05361,9234.8
2022-07-17T18:51:24.984,-115.539415,36.053824,9309.8
2022-07-17T18:51:26.023,-115.539415,36.053953,9399.8
2022-07-17T18:51:26.945,-115.539415,36.054018,9454.8
2022-07-17T18:51:28.922,-115.539672,36.054382,9474.8
2022-07-17T18:51:29.914,-115.540016,36.05479,9269.8
2022-07-17T18:51:30.953,-115.540531,36.055305,9029.8
2022-07-17T18:51:31.773,-115.541003,36.055777,8804.8
2022-07-17T18:51:32.633,-115.541561,36.056356,8594.8
2022-07-17T18:51:33.703,-115.542247,36.057043,8449.8
2022-07-17T18:51:34.813,-115.54287,36.057687,8389.8
2022-07-17T18:51:35.852,-115.543449,36.058266,8394.8
2022-07-17T18:51:36.875,-115.544007,36.058824,8409.8
2022-07-17T18:51:37.828,-115.544586,36.059382,8449.8
2022-07-17T18:51:38.797,-115.545015,36.059833,8499.8
2022-07-17T18:51:39.773,-115.545552,36.060348,8564.8
2022-07-17T18:51:40.688,-115.545959,36.060755,8629.8
2022-07-17T18:51:41.648,-115.546474,36.061206,8679.8
2022-07-17T18:51:42.656,-115.546925,36.061656,8744.8
2022-07-17T18:51:43.758,-115.547483,36.062107,8814.8
2022-07-17T18:51:44.883,-115.548019,36.062579,8874.8
2022-07-17T18:51:46.008,-115.548599,36.063094,8929.8
2022-07-17T18:51:47.000,-115.549006,36.063459,8994.8
2022-07-17T18:51:47.969,-115.549521,36.063888,9034.8
2022-07-17T18:51:48.922,-115.549972,36.064317,9059.8
2022-07-17T18:51:49.805,-115.550337,36.064661,9079.8
2022-07-17T18:51:50.914,-115.550873,36.06524,9074.8
2022-07-17T18:51:51.883,-115.551281,36.065691,9084.8
2022-07-17T18:51:52.813,-115.551624,36.066206,9094.8
