time,Longitude,Latitude,ortho_spline
2022-07-17T18:48:13.125,-115.056038,36.388972,8637.63614758402
2022-07-17T18:48:14.055,-115.057132,36.388113,8614.65825365735
2022-07-17T18:48:14.992,-115.058162,36.387277,8590.91101967758
2022-07-17T18:48:15.828,-115.059235,36.38644,8569.20359859611
2022-07-17T18:48:16.773,-115.060265,36.385581,8544.06470177952
2022-07-17T18:48:17.703,-115.061338,36.384723,8518.77695817836
2022-07-17T18:48:18.773,-115.062561,36.383693,8489.13692336104
2022-07-17T18:48:19.648,-115.063612,36.382856,8464.56319595984
2022-07-17T18:48:20.578,-115.064685,36.381998,8438.2111553981
2022-07-17T18:48:21.484,-115.065715,36.381183,8412.39837023243
2022-07-17T18:48:22.633,-115.06711,36.380067,8379.6030561629
2022-07-17T18:48:23.648,-115.06829,36.379123,8350.70369841826
2022-07-17T18:48:24.805,-115.069599,36.378114,8317.95639350682
2022-07-17T18:48:25.883,-115.070865,36.377084,8287.66436878763
2022-07-17T18:48:26.828,-115.072024,36.376162,8261.26151412496
2022-07-17T18:48:27.984,-115.073311,36.375089,8229.07166575149
2022-07-17T18:48:29.063,-115.074599,36.374059,8199.05604551755
2022-07-17T18:48:30.008,-115.075672,36.373222,8172.76877495958
2022-07-17T18:48:30.914,-115.076702,36.372385,8147.5619920345
2022-07-17T18:48:31.969,-115.078011,36.371334,8118.17973649644
2022-07-17T18:48:32.898,-115.079041,36.370518,8092.26536284431
2022-07-17T18:48:33.836,-115.080199,36.369531,8066.06543904584
2022-07-17T18:48:34.664,-115.081143,36.368802,8042.91734656988
2022-07-17T18:48:35.719,-115.082324,36.367857,8013.40609827987
2022-07-17T18:48:36.797,-115.083611,36.366806,7983.23298757993
2022-07-17T18:48:37.773,-115.08477,36.365883,7955.9191407127
2022-07-17T18:48:38.703,-115.085821,36.365025,7929.78236608557
2022-07-17T18:48:39.773,-115.087044,36.363974,7899.69096151897
2022-07-17T18:48:40.656,-115.088096,36.363115,7874.80733672854
2022-07-17T18:48:41.586,-115.089104,36.362236,7848.55447515162
2022-07-17T18:48:42.492,-115.090091,36.361399,7822.93662660866
2022-07-17T18:48:43.648,-115.091422,36.36024,7763.06069913792
2022-07-17T18:48:44.656,-115.092537,36.359253,7761.56343163723
2022-07-17T18:48:45.813,-115.093696,36.358202,7728.62896007885
2022-07-17T18:48:46.898,-115.094876,36.35715,7697.65512613572
2022-07-17T18:48:47.836,-115.095992,36.356184,7670.80306190174
2022-07-17T18:48:48.703,-115.096807,36.355391,7645.92294455942
2022-07-17T18:48:49.633,-115.097923,36.354468,7619.17071923392
2022-07-17T18:48:50.547,-115.098846,36.353567,7592.80434163215
2022-07-17T18:48:51.695,-115.100026,36.352558,7530.04746867092
2022-07-17T18:48:52.703,-115.101078,36.351571,7530.33102898666
2022-07-17T18:48:53.867,-115.102301,36.350455,7496.47487622091
2022-07-17T18:48:54.945,-115.103481,36.349404,7465.08001770511
2022-07-17T18:48:55.883,-115.104403,36.348546,7437.75557722555
2022-07-17T18:48:56.797,-115.105369,36.347709,7411.13246806961
2022-07-17T18:48:57.844,-115.106442,36.346679,7380.63774601114
