totsec,true_course_deg,hdg_deg_T,pitch_deg,bank_deg
19:02:05.902,175.704971847959,175.704971847959,-12.606024,-27.156684
19:02:06.002,175.48195073153,175.48195073153,-12.646598,-26.954247
19:02:06.102,175.229207698845,175.229207698845,-12.687172,-26.751809
19:02:06.202,174.936473265813,174.936473265813,-12.727746,-26.549372
19:02:06.302,174.593845181843,174.593845181843,-12.724496,-26.346935
19:02:06.402,174.20012068951,174.20012068951,-12.676425,-26.144497
19:02:06.502,173.762939516869,173.762939516869,-12.628355,-25.942060
19:02:06.602,173.290337225983,173.290337225983,-12.580285,-25.739622
19:02:06.702,172.790349379104,172.790349379104,-12.532214,-25.537185
19:02:06.802,172.2710115385,172.2710115385,-12.484144,-25.366258
19:02:06.902,171.740359266209,171.740359266209,-12.436074,-25.202173
19:02:07.002,171.206428124576,171.206428124576,-12.388003,-25.038089
19:02:07.102,170.677253675634,170.677253675634,-12.339933,-24.874004
19:02:07.202,170.160871481652,170.160871481652,-12.247846,-24.709919
19:02:07.302,169.665317104893,169.665317104893,-12.147025,-24.545834
19:02:07.402,169.197167549058,169.197167549058,-12.046205,-24.381749
19:02:07.502,168.755332969546,168.755332969546,-11.945384,-24.217664
19:02:07.602,168.336213232975,168.336213232975,-11.844564,-24.053579
19:02:07.702,167.936206762574,167.936206762574,-11.743743,-23.940815
19:02:07.802,167.551711981563,167.551711981563,-11.637705,-23.851400
19:02:07.902,167.179127312996,167.179127312996,-11.527889,-23.761985
19:02:08.002,166.814851180146,166.814851180146,-11.418073,-23.672570
19:02:08.102,166.455282006073,166.455282006073,-11.308257,-23.583155
19:02:08.202,166.096818213994,166.096818213994,-11.198441,-23.493740
19:02:08.302,165.735858227127,165.735858227127,-11.086995,-23.404325
19:02:08.402,165.368829793911,165.368829793911,-10.971516,-23.314910
19:02:08.502,164.994030570667,164.994030570667,-10.856036,-23.225495
19:02:08.602,164.612721889077,164.612721889077,-10.740556,-23.136080
19:02:08.702,164.226427810931,164.226427810931,-10.625077,-23.054831
19:02:08.802,163.836672398021,163.836672398021,-10.515837,-23.039167
19:02:08.902,163.44497971197,163.44497971197,-10.413446,-23.023503
19:02:09.002,163.052873814626,163.052873814626,-10.311055,-23.007839
19:02:09.102,162.661878767612,162.661878767612,-10.208664,-22.992175
19:02:09.202,162.27351863272,162.27351863272,-10.106272,-22.976512
19:02:09.302,161.889317471742,161.889317471742,-10.003881,-22.960848
