totsec,true_course_deg,hdg_deg_T,pitch_deg,bank_deg
18:47:48.594,130.617073,130.617073,-5.579038,4.655647
18:47:49.195,132.103206,132.103206,-5.182436,2.695180
18:47:50.398,133.432475,133.432475,-4.532961,1.282011
18:47:51.797,134.586510,134.586510,-3.694180,-0.137228
18:47:52.195,135.617288,135.617288,-2.749107,-1.002895
18:47:53.398,136.503048,136.503048,-1.786036,-1.834483
18:47:54.398,137.198496,137.198496,-0.886323,-3.025426
18:47:55.594,137.668117,137.668117,-0.107587,-4.956373
18:47:56.195,137.836415,137.836415,0.512810,-7.535015
18:47:57.797,137.708351,137.708351,0.951591,-9.500120
18:47:58.195,137.417840,137.417840,1.182380,-9.544419
18:47:59.195,137.153774,137.153774,1.202763,-7.644548
18:48:00.195,137.046357,137.046357,1.028435,-5.004651
18:48:01.398,137.106031,137.106031,0.709194,-3.147418
18:48:02.398,137.317792,137.317792,0.299739,-2.712335
18:48:03.195,137.531174,137.531174,-0.150515,-4.014608
18:48:04.797,137.662192,137.662192,-0.607643,-5.643669
18:48:05.195,137.601068,137.601068,-1.034794,-6.900447
18:48:06.594,137.408563,137.408563,-1.396639,-6.661827
18:48:07.797,137.258974,137.258974,-1.659138,-4.987801
18:48:08.195,137.291539,137.291539,-1.795532,-2.837646
18:48:09.594,137.548583,137.548583,-1.793174,-0.978034
18:48:10.594,137.963617,137.963617,-1.660738,0.085687
18:48:12.398,138.412169,138.412169,-1.426693,0.260969
18:48:13.594,138.699057,138.699057,-1.135881,-0.606485
18:48:14.195,138.735591,138.735591,-0.833123,-1.679402
18:48:15.797,138.546702,138.546702,-0.554631,-2.418054
18:48:16.797,138.220136,138.220136,-0.321818,-2.655853
18:48:17.594,137.878991,137.878991,-0.144506,-2.298200
18:48:18.594,137.580200,137.580200,-0.022114,-1.597673
18:48:19.594,137.330108,137.330108,0.049844,-0.726162
18:48:20.195,137.117160,137.117160,0.081593,0.167268
18:48:21.797,136.961899,136.961899,0.089315,0.975650
18:48:22.398,136.875606,136.875606,0.088631,1.467064
18:48:23.195,136.861569,136.861569,0.087383,1.566520
18:48:24.594,136.920315,136.920315,0.080787,1.419468
18:48:25.594,137.044232,137.044232,0.052500,1.139684
18:48:26.398,137.226180,137.226180,-0.015100,0.677378
18:48:27.594,137.461617,137.461617,-0.130789,0.046700
18:48:28.195,137.657432,137.657432,-0.290243,-1.013225
18:48:29.797,137.818836,137.818836,-0.477552,-1.787670
18:48:30.594,137.990540,137.990540,-0.668338,-1.887140
18:48:31.195,138.221140,138.221140,-0.835026,-1.266162
18:48:32.195,138.477346,138.477346,-0.954325,-0.493646
18:48:33.398,138.734506,138.734506,-1.016646,0.172864
18:48:34.594,138.952629,138.952629,-1.026160,0.342487
18:48:36.195,139.132581,139.132581,-0.997130,0.120305
18:48:37.195,139.300339,139.300339,-0.948756,-0.336631
18:48:38.195,139.454862,139.454862,-0.904185,-0.956949
18:48:39.797,139.489372,139.489372,-0.891695,-2.029862
18:48:40.195,139.440849,139.440849,-0.935829,-2.593011
18:48:41.594,139.311572,139.311572,-1.047819,-2.791121
